"admn_no";"student_id";"first_name";"last_name";"class";"section";"gender";"date_of_birth";"contact";"address";"blood_group";"date_of_join"
"A019";11119;"Rajgopal";"Verma";11;"A";"M";"2006-07-11";"91-9345678901";"876 Oak Avenue, Patiala, Punjab, 147001";"O+";"2010-03-16"
"A020";11120;"Sachidanda";"Jeeva";11;"A";"M";"2007-08-08";"91-9435678901";"345 Elm Street, Dehradun, Uttarakhand, 248001";"O+";"2010-03-17"
"A021";11121;"Sofia";"Sabbarwal";11;"A";"F";"2006-09-19";"91-9456789012";"678 Pine Road, Bareilly, Uttar Pradesh, 243001";"A+";"2010-03-18"
"A022";11122;"Vijay";"Kumar";11;"A";"M";"2007-10-23";"91-9546789012";"1233 Birch Lane, Guwahati, Assam, 781001";"B+";"2010-03-19"
"A023";11123;"Vishvesh";"Srijan";11;"A";"M";"2006-11-03";"91-9567890123";"456 Sycamore Avenue, Bhilai, Chhattisgarh, 490001";"O+";"2010-03-20"
"A024";11124;"William";"Nicholas";11;"A";"M";"2007-12-20";"91-9657890123";"789 Willow Lane, Guntur, Andhra Pradesh, 522001";"AB+";"2010-03-21"
"A025";11201;"Abbas";"Khan";11;"B";"M";"2006-01-08";"91-9678901234";"321 Redwood Street, Bhubaneswar, Odisha, 751001";"B+";"2010-03-22"
"A026";11202;"Abdus";"Shakur";11;"B";"M";"2007-02-13";"91-9768901234";"654 Magnolia Road, Shimla, Himachal Pradesh, 171001";"O+";"2010-03-23"
"A027";11203;"Abhimanyu";"Avinash";11;"B";"M";"2006-03-22";"91-9789012345";"9876 Juniper Lane, Siliguri, West Bengal, 734001";"B+";"2010-03-24"
"A028";11204;"Akash";"Koushik";11;"B";"M";"2007-04-27";"91-9879012345";"5432 Walnut Lane, Mysuru, Karnataka, 570001";"O+";"2010-03-25"
"A029";11205;"Arpudha";"Das";11;"B";"F";"2006-05-07";"91-9890123456";"8765 Chestnut Street, Gandhinagar, Gujarat, 382001";"A+";"2010-03-26"
"A030";11206;"Ayesha";"Arya";11;"B";"F";"2007-06-28";"91-9980123456";"2101 Cedar Road, Udaipur, Rajasthan, 313001";"B+";"2010-03-27"
"A031";11207;"Geetha";"Mithun";11;"B";"F";"2006-07-10";"91-9901234567";"876 Oak Lane, Bilaspur, Chhattisgarh, 495001";"O+";"2010-03-28"
"A032";11208;"Harsha";"Varthan";11;"B";"M";"2007-08-09";"91-0071234567";"345 Elm Avenue, Jhansi, Uttar Pradesh, 284001";"B+";"2010-03-29"
"A033";11209;"Inayat";"Khaleel";11;"B";"M";"2006-09-20";"91-0092345678";"678 Pine Street, Nellore, Andhra Pradesh, 524001";"B+";"2010-03-30"
"A034";11210;"Jaishankar";"Reddy";11;"B";"M";"2007-10-24";"91-0102345678";"1233 Birch Road, Rourkela, Odisha, 769001";"AB+";"2010-03-31"
"A035";11211;"Kripa";"Sankalp";11;"B";"F";"2006-11-02";"91-0123456789";"456 Sycamore Lane, Mangalore, Karnataka, 575001";"O+";"2010-04-01"
"A036";11212;"Madhuri";"Padukone";11;"B";"F";"2007-12-21";"91-0213456789";"789 Willow Avenue, Tirunelveli, Tamil Nadu, 627001";"B+";"2010-04-02"
"A037";11213;"Mugin";"Umapathy";11;"B";"M";"2006-01-07";"91-0234567890";"321 Redwood Road, Trichy, Tamil Nadu, 620001";"A+";"2010-04-03"
"A038";11214;"Rahsmi";"Gola";11;"B";"F";"2007-02-12";"91-0324567890";"654 Magnolia Street, Gaya, Bihar, 823001";"O+";"2010-04-04"
"A039";11215;"Raj";"Kirshan";11;"B";"M";"2006-03-23";"91-0345678901";"9876 Juniper Avenue, Tiruppur, Tamil Nadu, 641601";"A+";"2010-04-05"
"A040";11216;"Rajdurai";"Balaji";11;"B";"M";"2007-04-28";"91-0435678901";"5432 Walnut Road, Ajmer, Rajasthan, 305001";"O+";"2010-04-06"
"A041";11217;"Ravi";"Babu";11;"B";"M";"2006-05-08";"91-0456789012";"8765 Chestnut Lane, Darbhanga, Bihar, 846004";"A+";"2010-04-07"
"A042";11218;"Rithul";"Vaishnav";11;"B";"M";"2007-06-27";"91-0546789012";"2101 Cedar Road, Anantapur, Andhra Pradesh, 515001";"B+";"2010-04-08"
"A043";11219;"Sangeetha";"Arulmozhi";11;"B";"F";"2006-07-09";"91-0567890123";"876 Oak Avenue, Kollam, Kerala, 691001";"O+";"2010-04-09"
"A044";11220;"Santhosh";"Sriraman";11;"B";"M";"2007-08-10";"91-0657890123";"345 Elm Street, Kadapa, Andhra Pradesh, 516001";"B+";"2010-04-10"
"A045";11221;"Sathyaraj";"Vaibhav";11;"B";"M";"2006-09-21";"91-0678901234";"678 Pine Road, Bhagalpur, Bihar, 812001";"B+";"2010-04-11"
"A046";11222;"Sebastian";"Nikhil";11;"B";"M";"2007-10-25";"91-0768901234";"1233 Birch Lane, Gandhidham, Gujarat, 370201";"B-";"2010-04-12"
"A047";11223;"Shiva";"Subramanian";11;"B";"M";"2006-11-01";"91-0789012345";"456 Sycamore Road, Jammu, Jammu and Kashmir, 180001";"O+";"2010-04-13"
"A048";11224;"Sreenidhi";"Moorthi";11;"B";"F";"2007-12-22";"91-0879012345";"789 Willow Street, Davanagere, Karnataka, 577001";"A+";"2010-04-14"
"A049";11225;"Suganya";"Parameshwaran";11;"B";"F";"2006-01-06";"91-0890123456";"321 Redwood Lane, Warangal, Telangana, 506002";"O+";"2010-04-15"
"A050";11226;"Uma";"Chandrashekar";11;"B";"F";"2007-02-11";"91-0980123456";"654 Magnolia Avenue, Tiruvannamalai, Tamil Nadu, 606601";"O+";"2010-04-16"
"A051";11301;"Aalim";"Aashir";11;"C";"M";"2006-03-24";"91-0011234567";"9876 Juniper Lane, Guntakal, Andhra Pradesh, 515801";"O+";"2010-04-17"
"A052";11302;"Aanya";"Saicharan";11;"C";"F";"2007-04-29";"91-0022345678";"5432 Walnut Avenue, Kadiri, Andhra Pradesh, 515591";"B+";"2010-04-18"
"A053";11303;"Aisha";"Aryan";11;"C";"F";"2006-05-09";"91-0032345678";"8765 Chestnut Lane, Tadpatri, Andhra Pradesh, 515411";"A+";"2010-04-19"
"A054";11304;"Anushka";"Narayanan";11;"C";"F";"2007-06-26";"91-0043456789";"2101 Cedar Road, Anantapur, Andhra Pradesh, 515001";"B+";"2010-04-20"
"A055";11305;"Babu";"Gajendran";11;"C";"M";"2006-07-08";"91-0053456789";"876 Oak Street, Bangalore, Karnataka, 560001";"A+";"2010-04-21"
"A056";11306;"Binni";"Solomon";11;"C";"M";"2007-08-11";"91-0064567890";"345 Elm Lane, Mumbai, Maharashtra, 400001";"O+";"2010-04-22"
"A057";11307;"Ezio";"Auditore";11;"C";"M";"2006-09-22";"91-0074567890";"678 Pine Avenue, Delhi, Delhi, 110001";"A+";"2010-04-23"
"A058";11308;"Gokul";"Chettiar";11;"C";"M";"2007-10-26";"91-0085678901";"1233 Birch Lane, Kolkata, West Bengal, 700001";"O+";"2010-04-24"
"A059";11309;"Gundurao";"Viswanath";11;"C";"M";"2006-11-07";"91-0095678901";"456 Sycamore Road, Chennai, Tamil Nadu, 600001";"O+";"2010-04-25"
"A060";11310;"Jadeja";"Ramanan";11;"C";"M";"2007-12-23";"91-0006789012";"789 Willow Avenue, Hyderabad, Telangana, 500001";"O+";"2010-04-26"
"A061";11311;"Lavanya";"Sasidhar";11;"C";"F";"2006-01-05";"91-0016789012";"321 Redwood Street, Pune, Maharashtra, 411001";"O+";"2010-04-27"
"A062";11312;"Mathangi";"Aayush";11;"C";"F";"2007-02-10";"91-0027890123";"654 Magnolia Road, Ahmedabad, Gujarat, 380001";"B+";"2010-04-28"
"A063";11313;"Nisha";"Ganesh";11;"C";"F";"2006-03-25";"91-0037890123";"9876 Juniper Avenue, Jaipur, Rajasthan, 302001";"B+";"2010-04-29"
"A064";11314;"Prasad";"Udayshankar";11;"C";"M";"2007-04-30";"91-0048901234";"5432 Walnut Street, Lucknow, Uttar Pradesh, 226001";"B+";"2010-04-30"
"A066";11316;"Ram";"Pothineni";11;"C";"M";"2007-06-25";"91-0069012345";"2101 Cedar Road, Chandigarh, Punjab, 160001";"O+";"2010-05-02"
"A067";11317;"Ram";"Gopal";11;"C";"M";"2006-07-07";"91-0079012345";"876 Oak Lane, Indore, Madhya Pradesh, 452001";"O+";"2010-05-03"
"A068";11318;"Rashid";"Khan";11;"C";"M";"2007-08-12";"91-0080123456";"345 Elm Avenue, Thiruvananthapuram, Kerala, 695001";"A+";"2010-05-04"
"A069";11319;"Sahil";"Amar";11;"C";"M";"2006-09-23";"91-0090123456";"678 Pine Lane, Nagpur, Maharashtra, 440001";"O+";"2010-05-05"
"A070";11320;"Sandhya";"Acharya";11;"C";"F";"2007-10-27";"91-0191234567";"1233 Birch Street, Kanpur, Uttar Pradesh, 208001";"O+";"2010-05-06"
"A071";11321;"Urmila";"Lokesh";11;"C";"F";"2006-11-06";"91-0292345678";"456 Sycamore Avenue, Surat, Gujarat, 395001";"O+";"2010-05-07"
"A072";11322;"Varadharajan";"Sailesh";11;"C";"M";"2007-12-24";"91-0392345678";"789 Willow Road, Vadodara, Gujarat, 390001";"B+";"2010-05-08"
"A073";11323;"Vasantha";"Iyer";11;"C";"F";"2006-01-04";"91-0493456789";"321 Redwood Lane, Jaipur, Rajasthan, 302001";"B+";"2010-05-09"
"A074";11324;"Yadav";"Naidu";11;"C";"M";"2007-02-09";"91-0593456789";"654 Magnolia Avenue, Agra, Uttar Pradesh, 282001";"B+";"2010-05-10"
"A075";11401;"Aadhya";"Srivats";11;"D";"F";"2006-03-26";"91-0694567890";"9876 Juniper Road, Nashik, Maharashtra, 422001";"B+";"2010-05-11"
"A076";11402;"Afreen";"Aariz";11;"D";"F";"2007-04-01";"91-0794567890";"5432 Walnut Lane, Meerut, Uttar Pradesh, 250001";"B+";"2010-05-12"
"A077";11403;"Albert";"Anderson";11;"D";"M";"2006-05-11";"91-0895678901";"8765 Chestnut Street, Faridabad, Haryana, 121001";"O+";"2010-05-13"
"A078";11404;"Alexander";"Victor";11;"D";"M";"2007-06-24";"91-0995678901";"2101 Cedar Avenue, Rajkot, Gujarat, 360001";"AB+";"2010-05-14"
"A079";11405;"Ananya";"Murali";11;"D";"F";"2006-07-06";"91-0096789012";"876 Oak Road, Amritsar, Punjab, 143001";"O+";"2010-05-15"
"A080";11406;"Arivarasu";"Krishnan";11;"D";"M";"2007-08-13";"91-0196789012";"345 Elm Lane, Allahabad, Uttar Pradesh, 211001";"O+";"2010-05-16"
"A081";11407;"Asfiya";"Noorain";11;"D";"F";"2006-09-24";"91-0297890123";"678 Pine Avenue, Jamshedpur, Jharkhand, 831001";"A-";"2010-05-17"
"A082";11408;"Ayesha";"Takir";11;"D";"F";"2007-10-28";"91-0397890123";"1233 Birch Lane, Gwalior, Madhya Pradesh, 474001";"B+";"2010-05-18"
"A083";11409;"Balakrishna";"Upendran";11;"D";"M";"2006-11-05";"91-0498901234";"456 Sycamore Road, Patna, Bihar, 800001";"B+";"2010-05-19"
"A084";11410;"David";"Daniel";11;"D";"M";"2007-12-25";"91-0598901234";"789 Willow Street, Delhi, Delhi, 110001";"B+";"2010-05-20"
"A085";11411;"Harini";"Sivahari";11;"D";"F";"2006-01-03";"91-0699012345";"321 Redwood Avenue, Mumbai, Maharashtra, 400001";"B+";"2010-05-21"
"A086";11412;"Hema";"Abhishek";11;"D";"F";"2007-02-08";"91-0799012345";"654 Magnolia Road, Bangalore, Karnataka, 560001";"B+";"2010-05-22"
"A087";11413;"Ifat";"Aasim";11;"D";"F";"2006-03-27";"91-0890123456";"9876 Juniper Avenue, Kolkata, West Bengal, 700001";"A-";"2010-05-23"
"A088";11414;"Jagan";"Venkateshan";11;"D";"M";"2007-04-02";"91-0990123456";"5432 Walnut Street, Chennai, Tamil Nadu, 600001";"A+";"2010-05-24"
"A089";11415;"Jaya";"Sundaram";11;"D";"F";"2006-05-12";"91-0201234567";"8765 Chestnut Road, Hyderabad, Telangana, 500001";"O+";"2010-05-25"
"A090";11416;"Kranthi";"Vetri";11;"D";"F";"2007-06-23";"91-0402345678";"2101 Cedar Lane, Pune, Maharashtra, 411001";"O+";"2010-05-26"
"A091";11417;"Micheal";"Jacob";11;"D";"M";"2006-07-05";"91-0602345678";"123 Main Street, Mumbai, Maharashtra, 400001";"O+";"2010-05-27"
"A092";11418;"Mithra";"Thaman";11;"D";"F";"2007-08-14";"91-0803456789";"456 Park Avenue, Delhi, Delhi, 110001";"B+";"2010-05-28"
"A093";11419;"Mitra";"Malhotra";11;"D";"F";"2006-09-25";"91-1003456789";"789 Elm Road, Bangalore, Karnataka, 560001";"B+";"2010-05-29"
"A094";11420;"Prithvi";"Vivek";11;"D";"M";"2007-10-29";"91-1204567890";"321 Oak Lane, Kolkata, West Bengal, 700001";"O+";"2010-05-30"
"A095";11421;"Ranveer";"Kapoor";11;"D";"M";"2006-11-04";"91-1404567890";"654 Pine Street, Chennai, Tamil Nadu, 600001";"A+";"2010-05-31"
"A096";11422;"Samuel";"Selvaraj";11;"D";"M";"2007-12-26";"91-1605678901";"987 Birch Avenue, Hyderabad, Telangana, 500001";"O+";"2010-06-01"
"A097";11423;"Satwik";"Kumar";11;"D";"M";"2006-01-02";"91-1805678901";"234 Cedar Road, Pune, Maharashtra, 411001";"A+";"2010-06-02"
"A098";11424;"Suhaas";"Muthyala";11;"D";"M";"2007-02-07";"91-2006789012";"567 Willow Lane, Ahmedabad, Gujarat, 380001";"O+";"2010-06-03"
"A099";11425;"Usha";"Shrikanth";11;"D";"F";"2006-03-28";"91-2206789012";"890 Redwood Street, Jaipur, Rajasthan, 302001";"A+";"2010-06-04"
"A100";11426;"Utthaman";"Pradeep";11;"D";"M";"2007-04-03";"91-2407890123";"1234 Sycamore Avenue, Lucknow, Uttar Pradesh, 226001";"O+";"2010-06-05"
"A101";11501;"Advik";"Raghuvaran";11;"E";"M";"2006-05-13";"91-2607890123";"3456 Magnolia Lane, Patna, Bihar, 800001";"O+";"2010-06-06"
"A102";11502;"Akshay";"Kadhir";11;"E";"M";"2007-06-22";"91-2808901234";"6789 Acacia Road, Chandigarh, Punjab, 160001";"A+";"2010-06-07"
"A103";11503;"Arjun";"Kumar";11;"E";"M";"2006-07-04";"91-3008901234";"4321 Laurel Drive, Indore, Madhya Pradesh, 452001";"B+";"2010-06-08"
"A104";11504;"Arpana";"Aaryan";11;"E";"F";"2007-08-15";"91-3209012345";"7654 Juniper Street, Thiruvananthapuram, Kerala, 695001";"O+";"2010-06-09"
"A105";11505;"Avasthya";"Prasanna";11;"E";"F";"2006-09-26";"91-3409012345";"9876 Walnut Lane, Nagpur, Maharashtra, 440001";"AB+";"2010-06-10"
"A106";11506;"Balan";"Jaasu";11;"E";"M";"2007-10-30";"91-3600123456";"5432 Maple Road, Kanpur, Uttar Pradesh, 208001";"B+";"2010-06-11"
"A107";11507;"Baldev";"Rahul";11;"E";"M";"2006-11-03";"91-3800123456";"8765 Chestnut Avenue, Surat, Gujarat, 395001";"O+";"2010-06-12"
"A108";11508;"Gilpurt";"Bhaskar";11;"E";"M";"2007-12-27";"91-4001234567";"2101 Cedar Lane, Vadodara, Gujarat, 390001";"B+";"2010-06-13"
"A109";11509;"Girija";"Abhyuth";11;"E";"F";"2006-01-01";"91-4202345678";"876 Oak Street, Bhopal, Madhya Pradesh, 462001";"O+";"2010-06-14"
"A110";11510;"Hemanth";"Eshwar";11;"E";"M";"2007-02-06";"91-4402345678";"345 Elm Road, Coimbatore, Tamil Nadu, 641001";"O+";"2010-06-15"
"A111";11511;"Juhi";"Tandon";11;"E";"F";"2006-03-29";"91-4603456789";"678 Pine Avenue, Ludhiana, Punjab, 141001";"O+";"2010-06-16"
"A112";11512;"Kavin";"Mohan";11;"E";"F";"2007-04-04";"91-4803456789";"1233 Birch Lane, Agra, Uttar Pradesh, 282001";"B+";"2010-06-17"
"A113";11513;"Kavitha";"Arulmozhi";11;"E";"F";"2006-05-14";"91-5004567890";"456 Sycamore Road, Nashik, Maharashtra, 422001";"A+";"2010-06-18"
"A114";11514;"Mahal";"Sidhu";11;"E";"F";"2007-06-21";"91-5204567890";"789 Willow Street, Meerut, Uttar Pradesh, 250001";"B+";"2010-06-19"
"A115";11515;"Malini";"Pingle";11;"E";"F";"2006-07-03";"91-5405678901";"321 Redwood Avenue, Faridabad, Haryana, 121001";"O+";"2010-06-20"
"A116";11516;"Niranjana";"Advay";11;"E";"F";"2007-08-16";"91-5605678901";"654 Magnolia Lane, Rajkot, Gujarat, 360001";"AB-";"2010-06-21"
"A117";11517;"Pradeep";"Udaydev";11;"E";"M";"2006-09-27";"91-5806789012";"987 Acacia Road, Amritsar, Punjab, 143001";"O+";"2010-06-22"
"A118";11518;"Pratish";"Dhawan";11;"E";"M";"2007-10-31";"91-6006789012";"234 Laurel Drive, Allahabad, Uttar Pradesh, 211001";"B+";"2010-06-23"
"A119";11519;"Preethi";"Rishwin";11;"E";"F";"2006-11-02";"91-6207890123";"567 Juniper Street, Jabalpur, Madhya Pradesh, 482001";"B+";"2010-06-24"
"A120";11520;"Ritvik";"Krishnamoorthy";11;"E";"M";"2007-12-28";"91-6407890123";"890 Walnut Road, Jamshedpur, Jharkhand, 831001";"B+";"2010-06-25"
"A121";11521;"Sameer";"Akthar";11;"E";"M";"2006-01-31";"91-6608901234";"1234 Chestnut Avenue, Gwalior, Madhya Pradesh, 474001";"O+";"2010-06-26"
"A122";11522;"Samiksha";"Ajay";11;"E";"F";"2007-02-05";"91-6808901234";"3456 Cedar Street, Srinagar, Jammu and Kashmir, 190001";"A+";"2010-06-27"
"A123";11523;"Sathya";"Abhijith";11;"E";"M";"2006-03-30";"91-7009012345";"6789 Oak Lane, Aurangabad, Maharashtra, 431001";"A+";"2010-06-28"
"A124";11524;"Shreya";"Sankalp";11;"E";"F";"2007-04-05";"91-7209012345";"4321 Elm Lane, Dhanbad, Jharkhand, 826001";"O+";"2010-06-29"
"A125";12101;"Aadhavan";"Sanjay";12;"A";"M";"2006-05-15";"91-7400123456";"7654 Pine Road, Amravati, Maharashtra, 444001";"A+";"2010-06-30"
"A126";12102;"Akhil";"Rishi";12;"A";"M";"2007-06-20";"91-7600123456";"9876 Birch Street, Navi Mumbai, Maharashtra, 410001";"A+";"2010-07-01"
"A127";12103;"Alweena";"Mohammed";12;"A";"F";"2006-07-02";"91-7801234567";"5432 Sycamore Avenue, Raipur, Chhattisgarh, 492001";"O+";"2010-07-02"
"A128";12104;"Arav";"Sanjeev";12;"A";"M";"2007-08-17";"91-8001234567";"8765 Willow Lane, Solapur, Maharashtra, 413001";"O+";"2010-07-03"
"A129";12105;"Arjuna";"Gunti";12;"A";"M";"2006-09-28";"91-8202345678";"2101 Redwood Road, Visakhapatnam, Andhra Pradesh, 530001";"A+";"2010-07-04"
"A130";12106;"Ashwini";"Vidyuth";12;"A";"F";"2007-11-01";"91-8402345678";"876 Magnolia Avenue, Allahabad, Uttar Pradesh, 211001";"O+";"2010-07-05"
"A131";12107;"Deva";"Raja";12;"A";"M";"2007-12-29";"91-8603456789";"1233 Acacia Lane, Vijayawada, Andhra Pradesh, 520001";"AB+";"2010-07-06"
"A132";12108;"Disha";"Mukherji";12;"A";"F";"2006-01-30";"91-8803456789";"456 Laurel Street, Jodhpur, Rajasthan, 342001";"B+";"2010-07-07"
"A133";12109;"Fakrudhin";"Khan";12;"A";"M";"2007-02-04";"91-9004567890";"789 Juniper Avenue, Vadodara, Gujarat, 390001";"O+";"2010-07-08"
"A134";12110;"Inika";"Sachar";12;"A";"F";"2006-03-31";"91-9204567890";"321 Walnut Drive, Kochi, Kerala, 682001";"O+";"2010-07-09"
"A135";12111;"Jayendra";"Ghose";12;"A";"F";"2007-04-06";"91-9405678901";"654 Chestnut Road, Varanasi, Uttar Pradesh, 221001";"A+";"2010-07-10"
"A136";12112;"Laksh";"Arjun";12;"A";"M";"2006-05-16";"91-9605678901";"987 Sycamore Lane, Madurai, Tamil Nadu, 625001";"A+";"2010-07-11"
"A137";12113;"Maria";"James";12;"A";"F";"2007-06-19";"91-9806789012";"234 Willow Street, Rajkot, Gujarat, 360001";"O+";"2010-07-12"
"A138";12114;"Nila";"Raj";12;"A";"F";"2006-07-01";"91-9906789012";"567 Redwood Avenue, Kota, Rajasthan, 324001";"B+";"2010-07-13"
"A139";12115;"Prayag";"Aarush";12;"A";"M";"2007-08-18";"91-9927890123";"890 Oak Road, Jamshedpur, Jharkhand, 831001";"A+";"2010-07-14"
"A140";12116;"Raghu";"Hariharan";12;"A";"M";"2006-09-29";"91-9947890123";"1234 Elm Lane, Patiala, Punjab, 147001";"A+";"2010-07-15"
"A141";12117;"Rahul";"Bhavani";12;"A";"M";"2007-11-30";"91-9968901234";"3456 Pine Drive, Dehradun, Uttarakhand, 248001";"O+";"2010-07-16"
"A142";12118;"Ramesh";"Pandian";12;"A";"M";"2006-01-29";"91-9988901234";"6789 Birch Street, Bareilly, Uttar Pradesh, 243001";"A+";"2010-07-17"
"A143";12119;"Sakshi";"Kameshwaran";12;"A";"F";"2007-02-03";"91-9999012345";"4321 Sycamore Road, Guwahati, Assam, 781001";"O+";"2010-07-18"
"A144";12120;"Sakthi";"Ullaganayagan";12;"A";"F";"2007-04-07";"91-9999012345";"7654 Magnolia Avenue, Bhilai, Chhattisgarh, 490001";"O-";"2010-07-19"
"A145";12121;"Shekar";"Prabhakar";12;"A";"M";"2006-05-17";"91-9990123456";"9876 Acacia Street, Durgapur, West Bengal, 713201";"B+";"2010-07-20"
"A146";12122;"Shreyas";"Parthiv";12;"A";"M";"2007-06-18";"91-9990123456";"5432 Laurel Lane, Guntur, Andhra Pradesh, 522001";"O+";"2010-07-21"
"A147";12123;"Sonam";"Bhajrang";12;"A";"F";"2006-07-31";"91-9991234567";"8765 Juniper Road, Bhubaneswar, Odisha, 751001";"AB+";"2010-07-22"
"A148";12124;"Sudha";"Venkatraman";12;"A";"F";"2007-08-19";"91-9992345678";"2101 Walnut Street, Shimla, Himachal Pradesh, 171001";"B+";"2010-07-23"
"A149";12125;"Vaishnav";"Vasu";12;"A";"M";"2006-09-30";"91-9992345678";"876 Redwood Lane, Siliguri, West Bengal, 734001";"O+";"2010-07-24"
"A150";12201;"Aarush";"Patel";12;"B";"M";"2006-01-28";"91-9993456789";"345 Elm Avenue, Mysuru, Karnataka, 570001";"B+";"2010-07-25"
"A151";12202;"Adithi";"Micheal";12;"B";"F";"2007-02-02";"91-9993456789";"678 Pine Lane, Gandhinagar, Gujarat, 382001";"A+";"2010-07-26"
"A152";12203;"Adithya";"Yeshwanth";12;"B";"M";"2007-04-08";"91-9994567890";"1233 Cedar Street, Udaipur, Rajasthan, 313001";"O+";"2010-07-27"
"A153";12204;"Akshaya";"Sairam";12;"B";"F";"2006-05-18";"91-9994567890";"456 Willow Road, Bilaspur, Chhattisgarh, 495001";"AB+";"2010-07-28"
"A154";12205;"Alia";"Khanna";12;"B";"F";"2007-06-17";"91-9995678901";"789 Magnolia Avenue, Jhansi, Uttar Pradesh, 284001";"O+";"2010-07-29"
"A155";12206;"Anitha";"Prabhu";12;"B";"F";"2006-08-30";"91-9995678901";"321 Acacia Road, Tumkur, Karnataka, 572101";"B+";"2010-07-30"
"A156";12207;"Devika";"Ashwin";12;"B";"F";"2006-10-30";"91-9996789012";"654 Laurel Avenue, Nellore, Andhra Pradesh, 524001";"AB+";"2010-07-31"
"A157";12208;"Edward";"Williamson";12;"B";"M";"2006-01-27";"91-9996789012";"987 Juniper Lane, Rourkela, Odisha, 769001";"O+";"2010-08-01"
"A158";12209;"Ganadyaksha";"Rahul";12;"B";"M";"2007-02-01";"91-9997890123";"234 Walnut Lane, Mangalore, Karnataka, 575001";"O+";"2010-08-02"
"A159";12210;"Gowri";"Anand";12;"B";"F";"2007-04-09";"91-9997890123";"567 Chestnut Street, Tirunelveli, Tamil Nadu, 627001";"O+";"2010-08-03"
"A160";12211;"Hariharan";"Rajgopal";12;"B";"M";"2006-05-19";"91-9998901234";"890 Sycamore Road, Trichy, Tamil Nadu, 620001";"O+";"2010-08-04"
"A161";12212;"Harshitha";"Kapil";12;"B";"F";"2007-06-16";"91-9998901234";"1234 Oak Lane, Gaya, Bihar, 823001";"B+";"2010-08-05"
"A162";12213;"Jayanthi";"Sahodar";12;"B";"F";"2006-08-31";"91-9999012345";"3456 Elm Avenue, Tiruppur, Tamil Nadu, 641601";"O+";"2010-08-06"
"A163";12214;"Jayashree";"Pranav";12;"B";"F";"2006-10-31";"91-9999012345";"6789 Pine Street, Ajmer, Rajasthan, 305001";"AB+";"2010-08-07"
"A164";12215;"Kabir";"Ramkumar";12;"B";"M";"2006-01-26";"91-9990123456";"4321 Birch Avenue, Darbhanga, Bihar, 846004";"A+";"2010-08-08"
"A165";12216;"Kareena";"Singh";12;"B";"F";"2007-01-31";"91-9990123456";"7654 Cedar Road, Anantapur, Andhra Pradesh, 515001";"O+";"2010-08-09"
"A166";12217;"Mitra";"Gupta";12;"B";"F";"2007-04-10";"91-9991234567";"9876 Willow Lane, Kollam, Kerala, 691001";"O+";"2010-08-10"
"A167";12218;"Prakash";"Thyagarajan";12;"B";"M";"2006-05-20";"91-9991234567";"5432 Redwood Street, Kadapa, Andhra Pradesh, 516001";"A+";"2010-08-11"
"A168";12219;"Priya";"Kishore";12;"B";"F";"2007-06-15";"91-9992345678";"8765 Magnolia Lane, Alwar, Rajasthan, 301001";"A+";"2010-08-12"
